Date,Location,City,Country,Domestic/Int'l,Latitude,Longitude,Target,Tactic,Venue,Content,Source
02 May 2023,"Kampala, Uganda",Kampala,Uganda,International,0.309106253006199,32.5730030972348,Federal Government,Attack,Home,"A Ugandan soldier shot and killed a government minister he was assigned to protect at the minister’s home in Kampala. The soldier wounded one of the minister’s aides before taking his own life. The soldier had been assigned to the detail of Colonel Charles Okello Engola, deputy minister for gender and labor, a month before shooting him dead. A motive in the shooting remains unclear.",https://www.bbc.com/news/world-africa-65454213
02 May 2023,"London, United Kingdom",London,United Kingdom,International,51.5015509738371,-0.141224813661771,Federal Government,Harassment,Home,London Metropolitan Police arrested a man who threw shotgun shells over the gates at Buckingham Palace. Police found an edged weapon on the man during a subsequent search and carried out a controlled explosion on the shotgun shells out of precaution. A security cordon disrupted traffic around the palace for several hours. The incident came just four days before the coronation ceremony for King Charles III.,https://news.sky.com/story/man-arrested-outside-buckingham-palace-after-throwing-suspected-shotgun-cartridges-into-palace-grounds-12871507
02 May 2023,"Chippewa Falls, WI, USA",Chippewa Falls,USA,Domestic,44.940602694485,-91.3960346191854,Local Government,Verbal/Written Threat,Office,"Police arrested Harley Alcala as he was driving to a courthouse for a scheduled hearing after he had made social media threats against the judge and courthouse. Alcala allegedly posted on his Facebook account that if he didn’t get custody over his daughter that he would kill the judge presiding over his case and that he “wanted to see the courthouse shot up”.   Alcala appeared in Chippewa County Court May 4 facing charges of making terroristic threats, threats toward a judge, and attempted kidnapping in connection to a dispute over child custody rights. Bond has been reported to be $100,000 and is scheduled to return court date for June 13.",https://www.leadertelegram.com/news/daily-updates/man-accused-of-making-threats-to-judge-courthouse-held-on-100k-cash-bond/article_576d3c84-ea8c-11ed-b4c2-c31a87d469e5.html
02 May 2023,"Missoula, MT, USA",Missoula,USA,Domestic,46.8700419884161,-113.995714798408,State Government,Harassment,Home,"Transgender Montana state legislator, Zooey Zephyr, revealed that she was targeted in a “swatting” attack at her home in Missoula. “Swatting” is a disruptive and sometimes deadly pranking tactic where a caller falsely reports that a crime is happening at the target’s home, prompting an aggressive police response. No one was injured in the incident.",https://missoulian.com/news/local/missoula-rep-zooey-zephyr-faces-swatting-threat/article_284848a2-e9e4-11ed-b4ff-5f92e3cd1b7e.html
02 May 2023,"Struthers, OH, USA",Struthers,USA,Domestic,41.0563802415124,-80.5907280351436,Local Government,Verbal/Written Threat,Office,"A visiting judge has upheld the temporary restraining order against Struthers Municipal Judge Dominic Leone, who is accused of making threats towards Struthers Mayor Cat Cercone Miller during the May 2 primary election. Witnesses accused the judge of being “mentally unstable”, “erratic”, calling the mayor a “fat bitch”, and threatening to “get rowdy” with her.",https://www.wfmj.com/story/48933956/temporary-protection-order-extended-for-struthers-mayor-against-city-municipal-judge
03 May 2023,"Moscow, Russia",Moscow,Russia,International,55.7508577634604,37.6176291428158,Federal Government,Attack,Office,"Russia accused Ukraine of attempting to assassinate President Vladimir Putin in a drone attack on the Kremlin early in the morning of May 3. CCTV images show two drones exploding near Kremlin buildings approximately 15 minutes apart shortly before 3am, causing superficial damage but no injuries. Kyiv denied responsibility for the incident and, based on the model of drones used in the attacks, they were most likely launched and operated locally in Moscow. Moscow used the attack to bolster its accusations that Kyiv is a terrorist regime.",https://www.nbcnews.com/news/world/russia-ukraine-tried-assassinate-putin-drone-attack-kremlin-rcna82608
03 May 2023,"Buffalo, NY, USA",Buffalo,USA,Domestic,42.8750787007496,-78.8709670134862,Local Government,Verbal/Written Threat,Office,"Las Vegas Police arrested Daniel Parson in connection with making a series of threats against various targets in the Buffalo, New York, including the city’s mayor and his family. According to reports from federal authorities, in early May, Parson called the Buffalo Police Department threatening to “slaughter Buffalo Mayor Byron Brown and Brown’s family” and to “shoot up” a “fellowship church”. In a separate call, Parson threatened to carry out a mass shooting at an unspecified Tops grocery store.",https://www.justice.gov/usao-wdny/pr/north-carolina-man-arrested-charged-threatening-carry-out-shootings-church-and-grocery
04 May 2023,"Seoul, South Korea",Seoul,South Korea,International,37.5524615973651,126.973059866836,Celebrity,Harassment,Home,"Jeon Jungkook of the South Korean pop band BTS urged fans to stop sending him food orders, suggesting that they were stalkers for discovering his private residence address. Jeon appealed to fans on a social media platform, writing, ““I beg you. If you send food one more time, I’ll check the receipt order number and act, so stop it.”",https://www.scmp.com/news/asia/east-asia/article/3219476/bts-jungkook-begs-stalkers-not-send-food-his-home-i-can-take-care-my-own-meals
07 May 2023,"Erzurum, Turkey",Erzurum,Turkey,International,39.9084692108532,41.2693524802431,Local Government,Harassment,Public Area,"Angry protesters threw stones at Istanbul Mayor Ekrem Imamoglu's campaign bus while he was touring the eastern Turkish city of Erzurum. The incident forced Mayor Imamoglu to halt his campaign speech and seek cover inside before swiftly departing the scene. Social media footage captured the police using water cannons to disperse the group of people who chased the bus and threw stones. Imamoglu denounced the event as a provocation and demanded an explanation from local officials. Several individuals reportedly sustained minor injuries in the incident. The province is under the control of President Recep Tayyip Erdogan's Islamist-rooted party, which eventually won the election.",https://english.alarabiya.net/News/world/2023/05/07/Istanbul-mayor-s-bus-pelted-with-stones-during-election-campaign-
10 May 2023,"Berlin, Germany",Berlin,Germany,International,52.5000808151916,13.2705062352762,Business Executive,Harassment,Restricted Area,"Ten activists interrupted Volkswagen’s Annual General Meeting by throwing cakes and interrupting Chief Executive Oliver Blume's speech. The protesters accused the carmaker of using forced labor in the production of its vehicles and held banners reading 'End Uyghur Forced Labour at VW'. The protest targeted Volkswagen's controversial plant in China's Xinjiang region, echoing investor worries about alleged human rights violations. Security staff quickly removed the activists from the premises.",https://news.yahoo.com/protester-throws-cake-vw-chairman-112628709.html
